,flow,node,dec_count,dec_time_avg,dec_time_std
2729,516,pop51,1,0.00019979476928710938,0.0
2730,516,pop22,1,0.00020647048950195312,0.0
2731,517,pop23,2,0.0001729726791381836,5.161762237548828e-05
2732,517,pop24,1,0.00021529197692871094,0.0
2733,517,pop14,1,0.0002262592315673828,0.0
2734,517,pop50,1,0.00020742416381835938,0.0
2735,517,pop51,4,0.00022840499877929688,3.3033236144245705e-05
2736,517,pop8,1,0.0002143383026123047,0.0
2737,518,pop47,2,0.00018167495727539062,4.482269287109375e-05
2738,518,pop53,4,0.00022327899932861328,3.3035602152274574e-05
2739,518,pop3,1,0.00019860267639160156,0.0
2740,519,pop26,2,0.0001723766326904297,5.793571472167969e-05
2741,519,pop50,4,0.00023889541625976562,4.5633652365948874e-05
2742,519,pop17,1,0.00020051002502441406,0.0
2743,519,pop25,1,0.00019788742065429688,0.0
2744,520,pop23,2,0.0001881122589111328,4.0531158447265625e-05
2745,520,pop24,1,0.00020813941955566406,0.0
2746,520,pop14,1,0.000213623046875,0.0
2747,520,pop50,4,0.00023794174194335938,6.113193706717433e-05
2748,520,pop51,1,0.0002002716064453125,0.0
2749,520,pop53,1,0.0001995563507080078,0.0
2750,521,pop26,2,0.00018167495727539062,4.076957702636719e-05
2751,521,pop50,2,0.00020933151245117188,1.1920928955078125e-06
2752,521,pop51,3,0.00024350484212239584,4.850097820437634e-05
2753,521,pop53,3,0.0002627372741699219,7.48398919963869e-05
2754,522,pop42,5,0.0002318859100341797,6.676343480034166e-05
2755,522,pop53,1,0.00020313262939453125,0.0
2756,522,pop51,1,0.00020503997802734375,0.0
2757,522,pop50,1,0.0002028942108154297,0.0
2758,522,pop35,1,0.0001919269561767578,0.0
2759,523,pop23,2,0.00020384788513183594,2.6464462280273438e-05
2760,523,pop24,1,0.00020599365234375,0.0
2761,523,pop14,1,0.00020694732666015625,0.0
2762,523,pop50,2,0.0002079010009765625,4.76837158203125e-07
2763,523,pop55,1,0.00021338462829589844,0.0
2764,523,pop52,1,0.00021719932556152344,0.0
2765,523,pop48,3,0.00023547808329264322,4.0034605906268155e-05
2766,523,pop49,1,0.00020194053649902344,0.0
2767,523,pop2,1,0.0002052783966064453,0.0
2768,524,pop26,2,0.000186920166015625,4.124641418457031e-05
2769,524,pop50,4,0.00023859739303588867,5.928966624895324e-05
2770,524,pop51,4,0.0002105236053466797,3.97880536753622e-06
2771,524,pop53,3,0.0002448558807373047,5.821450713745008e-05
2772,524,pop46,2,0.0003001689910888672,8.416175842285156e-05
2773,524,pop14,2,0.0002110004425048828,1.1920928955078125e-06
2774,524,pop24,1,0.0003936290740966797,0.0
2775,525,pop42,4,0.00025278329849243164,7.912450927526547e-05
2776,525,pop53,1,0.00022530555725097656,0.0
2777,525,pop51,1,0.0001990795135498047,0.0
2778,525,pop52,1,0.00020384788513183594,0.0
2779,525,pop48,1,0.00020503997802734375,0.0
2780,525,pop49,1,0.0002002716064453125,0.0
2781,525,pop2,1,0.0002002716064453125,0.0
2782,526,pop47,2,0.00019729137420654297,2.753734588623047e-05
2783,526,pop51,5,0.00021395683288574218,5.2853694066692725e-06
2784,526,pop9,2,0.00028133392333984375,8.130073547363281e-05
2785,526,pop53,2,0.0002976655960083008,9.047985076904297e-05
2786,527,pop23,2,0.00019252300262451172,3.7550926208496094e-05
2787,527,pop24,1,0.00020599365234375,0.0
2788,527,pop14,1,0.00021076202392578125,0.0
2789,527,pop50,2,0.00020575523376464844,6.4373016357421875e-06
2790,527,pop51,3,0.00021115938822428385,1.1404839947337564e-05
2791,527,pop53,3,0.0002525647481282552,6.908445462366658e-05
2792,527,pop19,2,0.0002071857452392578,7.62939453125e-06
2793,527,pop18,2,0.00035190582275390625,3.4809112548828125e-05
2794,528,pop26,2,0.00018286705017089844,4.172325134277344e-05
2795,528,pop50,3,0.00020519892374674478,2.9286584492823728e-06
2796,528,pop51,2,0.00026047229766845703,5.9485435485839844e-05
2797,528,pop53,1,0.0001976490020751953,0.0
2798,529,pop23,2,0.0001614093780517578,6.771087646484375e-05
2799,529,pop24,1,0.00020456314086914062,0.0
2800,529,pop14,1,0.0002162456512451172,0.0
2801,529,pop27,4,0.0002270340919494629,3.1174254901999515e-05
2802,529,pop25,1,0.00020003318786621094,0.0
2803,530,pop23,2,0.0001596212387084961,6.210803985595703e-05
2804,530,pop24,1,0.00020813941955566406,0.0
2805,530,pop14,1,0.00020766258239746094,0.0
2806,530,pop27,3,0.00023070971171061197,3.597005193724352e-05
2807,530,pop25,1,0.00019550323486328125,0.0
2808,531,pop42,5,0.00022730827331542968,6.391870044822397e-05
2809,531,pop53,1,0.0002033710479736328,0.0
2810,531,pop51,1,0.00020122528076171875,0.0
2811,531,pop10,1,0.0001971721649169922,0.0
2812,531,pop11,1,0.00019812583923339844,0.0
2813,532,pop47,2,0.00016570091247558594,6.008148193359375e-05
2814,532,pop51,3,0.00023603439331054688,4.3070037509893215e-05
2815,532,pop22,1,0.00021004676818847656,0.0
2816,533,pop23,2,0.0001842975616455078,4.6253204345703125e-05
2817,533,pop24,1,0.00020551681518554688,0.0
2818,533,pop14,1,0.00020956993103027344,0.0
2819,533,pop50,2,0.00020420551300048828,5.960464477539062e-07
2820,533,pop51,4,0.0002052783966064453,2.7131573383190732e-06
2821,533,pop8,2,0.00026535987854003906,6.29425048828125e-05
2822,533,pop52,2,0.00020897388458251953,4.887580871582031e-06
2823,533,pop13,2,0.0002645254135131836,4.208087921142578e-05
2824,533,pop4,2,0.00033545494079589844,4.553794860839844e-05
2825,534,pop26,2,0.00017404556274414062,4.9114227294921875e-05
2826,534,pop50,4,0.00023430585861206055,5.2242884616312133e-05
2827,534,pop51,1,0.00020956993103027344,0.0
2828,534,pop10,1,0.00019741058349609375,0.0
2829,535,pop47,2,0.00015652179718017578,7.37905502319336e-05
2830,535,pop53,3,0.0002491474151611328,6.579776867713246e-05
2831,535,pop51,3,0.00024501482645670575,5.592506887628895e-05
2832,535,pop50,2,0.0002690553665161133,5.924701690673828e-05
2833,535,pop14,2,0.00021576881408691406,8.344650268554688e-06
2834,535,pop27,2,0.0002976655960083008,9.02414321899414e-05
2835,536,pop42,3,0.0001995563507080078,3.559603491991748e-05
2836,536,pop53,1,0.0002129077911376953,0.0
2837,536,pop51,2,0.00027763843536376953,6.401538848876953e-05
2838,536,pop19,1,0.0001990795135498047,0.0
2839,536,pop18,1,0.00019788742065429688,0.0
2840,537,pop26,2,0.00019848346710205078,2.467632293701172e-05
2841,537,pop50,1,0.00021505355834960938,0.0
2842,537,pop55,1,0.0002048015594482422,0.0
2843,537,pop52,1,0.0002040863037109375,0.0
2844,537,pop48,4,0.00022536516189575195,3.453794728896164e-05
2845,537,pop49,1,0.00020265579223632812,0.0
2846,537,pop2,1,0.00019431114196777344,0.0
2847,538,pop23,2,0.00018870830535888672,3.707408905029297e-05
2848,538,pop24,1,0.00020503997802734375,0.0
2849,538,pop14,1,0.0002067089080810547,0.0
2850,538,pop50,4,0.00024378299713134766,5.9818955425037136e-05
2851,538,pop51,1,0.0001964569091796875,0.0
2852,538,pop53,1,0.0002002716064453125,0.0
2853,539,pop23,2,0.00019478797912597656,3.1948089599609375e-05
2854,539,pop24,1,0.0002033710479736328,0.0
2855,539,pop14,1,0.0002086162567138672,0.0
2856,539,pop50,3,0.0002689361572265625,8.920190394688042e-05
2857,539,pop51,4,0.0002105236053466797,8.11849395941802e-06
2858,539,pop10,3,0.0002110004425048828,1.8570139321562326e-06
2859,539,pop11,2,0.0002676248550415039,6.902217864990234e-05
2860,539,pop53,2,0.0002067089080810547,5.0067901611328125e-06
2861,539,pop41,2,0.00027740001678466797,7.18832015991211e-05
2862,540,pop47,2,0.00016200542449951172,6.639957427978516e-05
2863,540,pop51,4,0.0002231001853942871,3.1268473940167506e-05
2864,540,pop8,1,0.00021719932556152344,0.0
2865,541,pop47,2,0.00015413761138916016,6.568431854248047e-05
2866,541,pop51,4,0.00021022558212280273,6.013574023532952e-06
2867,541,pop8,3,0.0002638498942057292,8.504880825911733e-05
2868,541,pop52,2,0.0002105236053466797,4.291534423828125e-06
2869,541,pop12,1,0.00036525726318359375,0.0
2870,541,pop53,3,0.00024040540059407553,4.177264665361017e-05
2871,541,pop41,1,0.0003428459167480469,0.0
2872,542,pop42,3,0.0001777013142903646,5.2806471076059e-05
2873,542,pop53,2,0.00020575523376464844,4.0531158447265625e-06
2874,542,pop51,1,0.00021457672119140625,0.0
2875,542,pop8,2,0.00030517578125,5.888938903808594e-05
2876,543,pop26,2,0.00016498565673828125,5.53131103515625e-05
2877,543,pop50,4,0.00023323297500610352,5.2743173132270774e-05
2878,543,pop17,1,0.00020122528076171875,0.0
2879,543,pop25,1,0.0001938343048095703,0.0
2880,544,pop23,2,0.00018990039825439453,2.8967857360839844e-05
2881,544,pop24,1,0.00021886825561523438,0.0
2882,544,pop14,1,0.00020742416381835938,0.0
2883,544,pop50,1,0.0002040863037109375,0.0
2884,544,pop51,4,0.0002072453498840332,5.482007388628133e-06
2885,544,pop10,3,0.0002193450927734375,9.178341176471785e-06
2886,544,pop11,3,0.00024763743082682293,4.53606967779576e-05
2887,544,pop8,2,0.00027167797088623047,6.115436553955078e-05
2888,544,pop19,2,0.00020825862884521484,7.033348083496094e-06
2889,544,pop18,2,0.00031828880310058594,1.3828277587890625e-05
2890,545,pop42,5,0.00021009445190429689,6.179033189441714e-05
2891,545,pop53,1,0.0002079010009765625,0.0
2892,545,pop51,1,0.0002105236053466797,0.0
2893,545,pop52,1,0.00019979476928710938,0.0
2894,546,pop47,2,0.0001647472381591797,6.151199340820312e-05
2895,546,pop51,4,0.0002269744873046875,4.019704719040813e-05
2896,546,pop22,1,0.00019669532775878906,0.0
2897,547,pop26,2,0.0001678466796875,5.936622619628906e-05
2898,547,pop50,3,0.0002449353535970052,4.732046579703523e-05
2899,547,pop55,1,0.00019550323486328125,0.0
2900,547,pop52,1,0.00021600723266601562,0.0
2901,548,pop23,2,0.0002149343490600586,3.2782554626464844e-05
2902,548,pop24,1,0.00020933151245117188,0.0
2903,548,pop14,1,0.00020813941955566406,0.0
2904,548,pop50,4,0.00024890899658203125,7.79400873856871e-05
2905,548,pop55,1,0.0002129077911376953,0.0
2906,548,pop52,1,0.0002186298370361328,0.0
2907,548,pop48,1,0.00020647048950195312,0.0
2908,548,pop49,1,0.00020265579223632812,0.0
2909,548,pop2,1,0.0002033710479736328,0.0
2910,549,pop42,5,0.0002109050750732422,6.57401954946338e-05
